,year,month,day,temp_2,temp_1,average,actual,forecast_noaa,forecast_acc,forecast_under,friend,week_Fri,week_Mon,week_Sat,week_Sun,week_Thurs,week_Tues,week_Wed
337,2016,12,21,46,51,45.1,49,44,50,46,39,0,0,0,0,0,0,1
338,2016,12,22,51,49,45.1,45,42,47,46,38,0,0,0,0,1,0,0
339,2016,12,23,49,45,45.1,40,45,49,44,35,1,0,0,0,0,0,0
340,2016,12,24,45,40,45.1,41,44,47,46,39,0,0,1,0,0,0,0
341,2016,12,25,40,41,45.1,42,42,49,44,31,0,0,0,1,0,0,0
342,2016,12,26,41,42,45.2,42,45,48,46,58,0,1,0,0,0,0,0
343,2016,12,27,42,42,45.2,47,41,50,47,47,0,0,0,0,0,1,0
344,2016,12,28,42,47,45.3,48,41,49,44,58,0,0,0,0,0,0,1
345,2016,12,29,47,48,45.3,48,43,50,45,65,0,0,0,0,1,0,0
346,2016,12,30,48,48,45.4,57,44,46,44,42,1,0,0,0,0,0,0
347,2016,12,31,48,57,45.5,40,42,48,47,57,0,0,1,0,0,0,0
